idx,model_bits/data_samples,data_bits/data_samples,(data_bits+model_bits)/data_samples,data_samples,topology,params,quantization_bits,model_bits
032_160_640_001_16b,0.18459876776259326,0.10311055035175136,0.2877093181143446,7864320.0,032_160_640_001,108961,16,1451743.7812907174
032_640_040_001_32b,0.19043375651041666,0.1055452278116718,0.2959789843220885,7864320.0,032_640_040_001,46801,32,1497632.0
032_320_320_001_16b,0.19082677500442746,0.10201154183596373,0.29283831684039113,7864320.0,032_320_320_001,113601,16,1500722.823202819
032_640_160_001_16b,0.2019803688041205,0.09974130008680124,0.3017216688909218,7864320.0,032_640_160_001,123841,16,1588438.253993621
032_080_640_001_32b,0.22428792317708326,0.10868291051592678,0.3329708336930101,7864320.0,032_080_640_001,55121,32,1763871.9999999995
032_160_320_001_32b,0.23242594401041666,0.10645135786229123,0.3388773018727079,7864320.0,032_160_320_001,57121,32,1827872.0
032_640_640_001_08b,0.24227239454102265,0.09660353963263332,0.3388759341736559,7864320.0,032_640_640_001,432001,8,1905307.6378368551
032_320_160_001_32b,0.2526082356770833,0.10519834541094801,0.3578065810880313,7864320.0,032_320_160_001,62081,32,1986591.9999999998
032_640_080_001_32b,0.29492594401041666,0.10409704049428303,0.3990229845046997,7864320.0,032_640_080_001,72481,32,2319392.0
032_320_640_001_16b,0.35667075732494136,0.09791113388879844,0.4545818912137398,7864320.0,032_320_640_001,216641,16,2804972.9702456826
032_640_320_001_16b,0.36699548932208986,0.09709705849333357,0.4640925478154234,7864320.0,032_640_320_001,226561,16,2886169.966585498
032_160_640_001_32b,0.4433634440104167,0.10311035534056524,0.5464737993509821,7864320.0,032_160_640_001,108961,32,3486752.0000000005
032_320_320_001_32b,0.46224365234375,0.10201262646199516,0.5642562788057451,7864320.0,032_320_320_001,113601,32,3635232.0
032_640_160_001_32b,0.5039103190104167,0.09974302367772908,0.6036533426881457,7864320.0,032_640_160_001,123841,32,3962912.0000000005
032_640_640_001_16b,0.6791549812771259,0.09560254126942408,0.7747575225465501,7864320.0,032_640_640_001,432001,16,5341092.102357327
032_320_640_001_32b,0.8815144856770833,0.09790933122082304,0.9794238168979064,7864320.0,032_320_640_001,216641,32,6932512.0
032_640_320_001_32b,0.9218790690104168,0.09709839394005636,1.018977462950473,7864320.0,032_640_320_001,226561,32,7249952.000000001
032_640_640_001_32b,1.7578165690104166,0.09560524439439178,1.8534218134048084,7864320.0,032_640_640_001,432001,32,13824032.0
